Player,FG%,3P%,FT%,PTS,AST,TRB,BLK,STL
Damyean Dotson,41.4,36.199999999999996,66.7,6.7,1.2,1.9,0.1,0.5
Sekou Doumbouya,39.0,28.599999999999998,67.4,6.4,0.5,3.1,0.2,0.5
PJ Dozier,41.4,34.699999999999996,72.39999999999999,5.8,2.2,1.9,0.2,0.5
Goran Dragić,44.1,36.7,77.60000000000001,16.2,5.1,3.2,0.2,0.7
Andre Drummond,53.300000000000004,14.299999999999999,57.49999999999999,17.7,2.7,15.2,1.6,1.9
Jared Dudley,40.0,42.9,100.0,1.5,0.6,1.2,0.1,0.3
Kris Dunn,44.4,25.900000000000002,74.1,7.3,3.4,3.6,0.3,2.0
Carsen Edwards,32.800000000000004,31.6,68.4,3.3,0.6,1.3,0.1,0.3
Henry Ellenson,14.299999999999999,0.0,0.0,0.4,0.2,1.2,0.0,0.0
Wayne Ellington,35.099999999999994,35.0,84.6,5.1,1.2,1.8,0.1,0.4
Joel Embiid,47.699999999999996,33.1,80.7,23.0,3.0,11.6,1.3,0.9
James Ennis III,44.6,32.5,80.60000000000001,6.6,0.9,3.6,0.3,0.5
Drew Eubanks,64.2,100.0,76.9,4.9,0.7,3.9,0.8,0.2
Jacob Evans,33.6,33.300000000000004,86.2,4.4,1.1,1.4,0.4,0.4
Dante Exum,47.099999999999994,34.9,74.4,4.5,1.1,1.9,0.2,0.4
Tacko Fall,78.60000000000001,0.0,33.300000000000004,3.3,0.1,2.1,0.6,0.1
Derrick Favors,61.7,14.299999999999999,56.3,9.0,1.6,9.8,0.9,0.6
Cristiano Felício,63.0,0.0,78.3,3.9,0.7,4.6,0.1,0.5
Terrance Ferguson,35.5,29.2,75.0,3.9,0.9,1.3,0.3,0.5
Bruno Fernando,51.800000000000004,13.5,56.89999999999999,4.3,0.9,3.5,0.3,0.3
Yogi Ferrell,42.0,30.4,85.7,4.4,1.4,1.0,0.1,0.4
Dorian Finney-Smith,46.6,37.6,72.2,9.5,1.6,5.7,0.5,0.6
Bryn Forbes,41.699999999999996,38.800000000000004,83.3,11.2,1.7,2.0,0.0,0.5
Evan Fournier,46.7,39.900000000000006,81.8,18.5,3.2,2.6,0.2,1.1
De'Aaron Fox,48.0,29.2,70.5,21.1,6.8,3.8,0.5,1.5
Melvin Frazier,44.1,50.0,50.0,2.1,0.2,0.5,0.1,0.5
Michael Frazier,24.099999999999998,17.4,64.3,2.1,0.2,0.8,0.0,0.2
Tim Frazier,36.199999999999996,33.300000000000004,79.2,3.6,3.4,1.2,0.1,0.5
Enes Freedom,57.199999999999996,14.299999999999999,70.7,8.1,1.0,7.4,0.7,0.4
Markelle Fultz,46.5,26.700000000000003,73.0,12.1,5.1,3.3,0.2,1.3
Wenyen Gabriel,43.8,30.0,68.2,2.1,0.3,1.7,0.2,0.4
Daniel Gafford,70.1,0.0,53.300000000000004,5.1,0.5,2.5,1.3,0.3
Danilo Gallinari,43.8,40.5,89.3,18.7,1.9,5.2,0.1,0.7
Langston Galloway,43.5,39.900000000000006,85.9,10.3,1.5,2.3,0.2,0.7
Darius Garland,40.1,35.5,87.5,12.3,3.9,1.9,0.1,0.7
Marc Gasol,42.699999999999996,38.5,73.5,7.5,3.3,6.3,0.9,0.8
Rudy Gay,44.6,33.6,88.2,10.8,1.7,5.4,0.5,0.5
Paul George,43.9,41.199999999999996,87.6,21.5,3.9,5.7,0.4,1.4
Taj Gibson,58.4,28.599999999999998,73.2,6.1,0.8,4.3,0.5,0.4
Harry Giles,55.400000000000006,0.0,77.60000000000001,6.9,1.3,4.1,0.4,0.5
Shai Gilgeous-Alexander,47.099999999999994,34.699999999999996,80.7,19.0,3.3,5.9,0.7,1.1
Rudy Gobert,69.3,0.0,63.0,15.1,1.5,13.5,2.0,0.8
Brandon Goodwin,40.0,29.9,93.30000000000001,6.1,1.5,2.1,0.1,0.4
Aaron Gordon,43.7,30.8,67.4,14.4,3.7,7.7,0.6,0.8
Eric Gordon,36.9,31.7,76.6,14.4,1.5,2.0,0.4,0.6
Devonte' Graham,38.2,37.3,82.0,18.2,7.5,3.4,0.2,1.0
Treveon Graham,36.0,27.500000000000004,64.3,4.4,0.8,2.7,0.1,0.4
Jerami Grant,47.8,38.9,75.0,12.0,1.2,3.5,0.8,0.7
Jerian Grant,37.0,25.0,71.39999999999999,4.5,1.5,1.0,0.2,0.2
Josh Gray,50.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
Danny Green,41.6,36.7,68.8,8.0,1.3,3.3,0.5,1.3
Draymond Green,38.9,27.900000000000002,75.9,8.0,6.2,6.2,0.8,1.4
